SK_ID_CURR,TARGET,C_CNT_CHILDREN,C_AMT_INCOME_TOTAL,C_AMT_CREDIT,C_AMT_ANNUITY,C_AMT_GOODS_PRICE,C_OWN_CAR_AGE,C_TOTALAREA_MODE,D_OCCUPATION_TYPE,D_NAME_CONTRACT_TYPE,D_CODE_GENDER,D_FLAG_OWN_CAR,D_FLAG_OWN_REALTY,D_NAME_INCOME_TYPE,D_NAME_EDUCATION_TYPE,D_NAME_FAMILY_STATUS,D_NAME_HOUSING_TYPE,D_FLAG_PHONE,D_WEEKDAY_APPR_PROCESS_START,D_NAME_TYPE_SUITE,D_HOUSETYPE_MODE,D_WALLSMATERIAL_MODE
197194,0,1,270000.0,547344.0,31549.5,472500.0,,0.0674,Core staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
440510,0,0,81000.0,454500.0,44275.5,454500.0,,,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
330494,0,0,270000.0,2085120.0,72607.5,1800000.0,7.0,0.1868,Managers,Cash loans,M,Y,N,Commercial associate,Higher education,Married,House / apartment,1,FRIDAY,Unaccompanied,block of flats,Panel
260114,0,0,180000.0,814041.0,23931.0,679500.0,,,Drivers,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,SATURDAY,Unaccompanied,,
451638,0,0,121500.0,675000.0,32472.0,675000.0,,0.0069999999999999,,Cash loans,M,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Others
184218,0,0,202500.0,114682.5,13099.5,99000.0,4.0,0.1769,,Cash loans,F,Y,N,Working,Secondary / secondary special,Married,Municipal apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
167229,0,0,157500.0,643500.0,18571.5,643500.0,17.0,0.2303,,Cash loans,M,Y,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
442029,0,0,121500.0,781920.0,25969.5,675000.0,8.0,0.0589,Security staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,MONDAY,Family,block of flats,"Stone, brick"
374482,0,0,180000.0,1223010.0,48631.5,1125000.0,64.0,,Managers,Cash loans,F,Y,Y,Commercial associate,Higher education,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
245245,0,0,90000.0,545040.0,20677.5,450000.0,,0.2409,,Cash loans,F,N,Y,Pensioner,Higher education,Single / not married,Municipal apartment,1,SATURDAY,Unaccompanied,block of flats,Panel
327535,0,0,112500.0,225000.0,24363.0,225000.0,7.0,0.1973,Drivers,Cash loans,M,Y,Y,Working,Incomplete higher,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,Panel
389999,1,0,148500.0,540000.0,25150.5,540000.0,31.0,0.002,Drivers,Cash loans,M,Y,N,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,THURSDAY,Unaccompanied,,
387498,0,0,157500.0,295168.5,16141.5,238500.0,16.0,0.0123,Laborers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Family,,
144524,0,0,67500.0,545040.0,26509.5,450000.0,,0.0505,Sales staff,Cash loans,F,N,Y,Commercial associate,Lower secondary,Civil marriage,House / apartment,1,MONDAY,Unaccompanied,block of flats,Panel
316509,0,0,315000.0,640080.0,31261.5,450000.0,11.0,0.1974,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
159276,0,1,162000.0,1288350.0,37800.0,1125000.0,,0.1334,High skill tech staff,Cash loans,M,N,Y,Commercial associate,Higher education,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
386691,0,0,112500.0,152685.0,7794.0,103500.0,,,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
101171,0,0,112500.0,508495.5,21541.5,454500.0,,,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,SUNDAY,Unaccompanied,,
365175,0,0,202500.0,1096020.0,56092.5,900000.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
300674,1,1,157500.0,508500.0,40306.5,508500.0,4.0,0.1201,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,Panel
227718,0,0,315000.0,1185282.0,38236.5,1035000.0,3.0,,,Cash loans,F,Y,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,WEDNESDAY,Unaccompanied,,
309138,1,0,157500.0,760225.5,33615.0,679500.0,,0.0256,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
339146,0,1,270000.0,254700.0,25321.5,225000.0,19.0,,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,Municipal apartment,0,MONDAY,Unaccompanied,,
185203,0,0,157500.0,781920.0,25542.0,675000.0,,0.2383,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Children,block of flats,"Stone, brick"
277930,0,2,108000.0,148365.0,12024.0,135000.0,8.0,,High skill tech staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
207449,0,0,337500.0,450000.0,20979.0,450000.0,,0.0245,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
258608,0,1,211500.0,640080.0,24259.5,450000.0,,0.1667,High skill tech staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
301413,1,0,135000.0,398160.0,31585.5,315000.0,9.0,0.0053,Medicine staff,Cash loans,F,Y,Y,State servant,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,
396052,1,0,360000.0,1546020.0,45202.5,1350000.0,7.0,,Managers,Cash loans,F,Y,N,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,MONDAY,Unaccompanied,,
384809,0,2,135000.0,544491.0,21226.5,454500.0,,,Cooking staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
215787,0,1,173250.0,450000.0,21888.0,450000.0,8.0,0.0033,,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,SUNDAY,"Spouse, partner",terraced house,"Stone, brick"
367741,1,0,157500.0,508495.5,25960.5,454500.0,,,High skill tech staff,Cash loans,M,N,N,Commercial associate,Higher education,Married,House / apartment,0,TUESDAY,Family,,
437050,0,0,157500.0,752742.0,40234.5,697500.0,,,Managers,Cash loans,F,N,Y,Commercial associate,Higher education,Separated,House / apartment,1,THURSDAY,Unaccompanied,,
122757,0,0,225000.0,656811.0,21703.5,567000.0,7.0,,,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
381837,0,0,135000.0,540000.0,17550.0,540000.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Separated,House / apartment,0,TUESDAY,Unaccompanied,,
421666,0,0,202500.0,808650.0,26217.0,675000.0,,0.0317,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",block of flats,"Stone, brick"
236246,0,0,270000.0,314100.0,13963.5,225000.0,10.0,,,Cash loans,M,Y,N,Working,Secondary / secondary special,Married,With parents,0,WEDNESDAY,Unaccompanied,,
354236,0,0,225000.0,675000.0,32602.5,675000.0,,,Medicine staff,Cash loans,F,N,Y,State servant,Secondary / secondary special,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
397159,0,0,76500.0,222547.5,17352.0,202500.0,,,Sales staff,Cash loans,F,N,Y,Working,Higher education,Married,House / apartment,1,TUESDAY,Unaccompanied,,
156739,0,2,216000.0,1575000.0,45270.0,1575000.0,2.0,0.0227,Drivers,Cash loans,M,Y,N,Working,Higher education,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
391719,0,0,112500.0,810000.0,26127.0,810000.0,,0.4047,Core staff,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,0,FRIDAY,Family,block of flats,"Stone, brick"
253615,0,2,67500.0,195543.0,14359.5,148500.0,,0.1364,Laborers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
240128,0,0,247500.0,574785.0,34861.5,436500.0,,0.0641,Drivers,Cash loans,M,N,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,MONDAY,Unaccompanied,,Panel
213753,0,0,202500.0,260640.0,30928.5,225000.0,,0.0884,Managers,Cash loans,M,N,Y,Working,Higher education,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
367909,0,0,171000.0,360000.0,35734.5,360000.0,2.0,0.2707,,Cash loans,F,Y,Y,Pensioner,Higher education,Married,House / apartment,1,TUESDAY,Other_B,block of flats,Panel
150692,0,0,90000.0,153000.0,12397.5,153000.0,,,Laborers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,THURSDAY,Unaccompanied,,
244831,0,0,99000.0,163008.0,18522.0,144000.0,,0.1048,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,,
189671,0,0,202500.0,526491.0,26878.5,454500.0,15.0,,Security staff,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",,
416573,0,0,202500.0,948816.0,27873.0,792000.0,,0.0898,Managers,Cash loans,F,N,Y,Working,Secondary / secondary special,Widow,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
150732,0,0,81000.0,202500.0,10125.0,202500.0,,,Sales staff,Revolving loans,F,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
143224,0,0,117000.0,381528.0,13702.5,315000.0,,,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
403532,0,0,153000.0,508495.5,20295.0,454500.0,3.0,,Accountants,Cash loans,F,Y,Y,State servant,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,,
242687,0,1,81000.0,182016.0,10579.5,144000.0,,,Laborers,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
427434,1,0,135000.0,509400.0,40374.0,450000.0,,0.0484,Laborers,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,1,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
131350,1,0,108000.0,814041.0,23800.5,679500.0,,0.0083,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
308529,0,0,90000.0,270000.0,13261.5,270000.0,7.0,,,Cash loans,F,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
425981,0,0,135000.0,630000.0,30307.5,630000.0,,0.0218,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
270175,0,0,126000.0,518562.0,38083.5,463500.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
321442,0,1,225000.0,308461.5,20745.0,279000.0,2.0,,Realty agents,Cash loans,F,Y,Y,Working,Higher education,Married,With parents,0,TUESDAY,Unaccompanied,,
374542,0,0,112500.0,270000.0,13500.0,270000.0,64.0,,Drivers,Revolving loans,M,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
280111,0,0,135000.0,327024.0,12456.0,270000.0,,0.0066,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,SUNDAY,Unaccompanied,block of flats,Wooden
156112,1,1,247500.0,1237554.0,43974.0,886500.0,64.0,0.0058,,Cash loans,F,Y,N,Working,Higher education,Single / not married,With parents,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
218719,1,0,175500.0,490536.0,22995.0,405000.0,,,Security staff,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
189756,0,0,270000.0,1354500.0,37377.0,1354500.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",,
138746,0,0,90000.0,647046.0,21001.5,463500.0,,,Security staff,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
313317,0,0,157500.0,285453.0,14701.5,193500.0,,0.0077,Drivers,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
128718,0,0,405000.0,1256400.0,36864.0,900000.0,10.0,,Managers,Cash loans,M,Y,Y,Commercial associate,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,,
370841,0,0,45450.0,86598.0,9220.5,76500.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
308201,0,1,90000.0,754740.0,24475.5,630000.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
268111,1,1,81000.0,126675.0,15030.0,103500.0,,0.0749,Laborers,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Panel
321685,0,0,225000.0,1575000.0,43443.0,1575000.0,20.0,0.0274,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
180342,0,0,54000.0,157500.0,9765.0,157500.0,,0.0121,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,1,MONDAY,Unaccompanied,block of flats,"Stone, brick"
266625,0,1,238500.0,585000.0,22666.5,585000.0,,0.0911,Drivers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
172378,0,0,112500.0,754740.0,19908.0,630000.0,,0.0468,High skill tech staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Separated,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
453689,0,1,180000.0,1515415.5,44437.5,1354500.0,,0.0733,,Cash loans,M,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
314054,0,0,472500.0,1024785.0,57352.5,922500.0,,0.0072,Laborers,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Wooden
104068,0,0,90000.0,450000.0,25128.0,450000.0,,,Core staff,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,0,FRIDAY,Unaccompanied,,
372482,0,2,135000.0,801000.0,31896.0,801000.0,,0.1377,Security staff,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
408967,0,0,67500.0,285453.0,14701.5,193500.0,,,,Cash loans,F,N,Y,Pensioner,Lower secondary,Married,House / apartment,0,THURSDAY,Family,,
359180,0,1,135000.0,675000.0,21775.5,675000.0,,0.0449,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Panel
342048,0,1,292500.0,539100.0,27652.5,450000.0,2.0,0.1578,Accountants,Cash loans,F,Y,Y,Commercial associate,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
380770,0,0,112500.0,832500.0,24471.0,832500.0,,0.1349,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
278047,0,0,162000.0,119925.0,11227.5,112500.0,,0.0486,,Cash loans,M,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
127911,1,1,157500.0,545040.0,26640.0,450000.0,19.0,,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,,
326630,0,0,121500.0,673875.0,31356.0,544500.0,15.0,,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Separated,House / apartment,0,FRIDAY,Unaccompanied,,
375688,0,0,90000.0,888840.0,32053.5,675000.0,,,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Widow,House / apartment,1,SUNDAY,Unaccompanied,,
345659,0,0,112500.0,506232.0,13918.5,400500.0,10.0,0.1471,,Cash loans,F,Y,N,Working,Higher education,Single / not married,With parents,0,SUNDAY,Unaccompanied,block of flats,"Stone, brick"
245572,0,0,450000.0,1237684.5,49216.5,1138500.0,,0.1157,Private service staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,terraced house,"Stone, brick"
450472,0,0,126000.0,760131.0,24651.0,634500.0,,0.168,Laborers,Cash loans,M,N,Y,Working,Lower secondary,Single / not married,With parents,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
329757,0,0,112500.0,189000.0,18823.5,189000.0,,,Laborers,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,MONDAY,Unaccompanied,,
128209,0,0,135000.0,900000.0,28260.0,900000.0,,0.3074,Core staff,Cash loans,F,N,Y,Working,Higher education,Married,House / apartment,0,SUNDAY,Unaccompanied,block of flats,Panel
181404,0,1,180000.0,315000.0,15448.5,315000.0,15.0,0.0702,,Cash loans,F,Y,N,Working,Higher education,Single / not married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,Block
